"Otroci, vkljuèeni v vrtec, po statistièni regiji zavoda, vrsti vrtca (lastnina) in starosti otrok, Slovenija, letno"

"STATISTIÈNA REGIJA ZAVODA";"STAROST";"VRSTA ZAVODA (LASTNINA)";"2006/07";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18";"2018/19"
"Posavska";"2 leti";"Vrsta zavoda  - SKUPAJ";286;297;379;366;490;473;522;472;484;494;551;594;563
"Posavska";"3 leta";"Vrsta zavoda  - SKUPAJ";378;409;410;492;470;579;545;557;591;625;616;636;685
"Posavska";"4 leta";"Vrsta zavoda  - SKUPAJ";482;426;487;473;549;522;614;524;639;687;709;664;675
"Posavska";"5 let";"Vrsta zavoda  - SKUPAJ";504;540;482;521;479;576;536;602;586;727;748;744;679
"Posavska";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";22;11;26;35;30;13;21;26;25;42;42;56;54
"Jugovzhodna Slovenija";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";4224;4284;4730;5087;5391;5702;5955;5942;6144;6355;6420;6444;6460
"Jugovzhodna Slovenija";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";443;515;651;714;678;746;782;732;752;792;803;823;820
"Jugovzhodna Slovenija";"2 leti";"Vrsta zavoda  - SKUPAJ";675;729;877;990;1101;1053;1165;1064;1152;1095;1228;1212;1229
"Jugovzhodna Slovenija";"3 leta";"Vrsta zavoda  - SKUPAJ";890;926;970;1089;1200;1313;1237;1372;1316;1347;1324;1392;1375
"Jugovzhodna Slovenija";"4 leta";"Vrsta zavoda  - SKUPAJ";1005;1045;1062;1130;1180;1295;1387;1336;1448;1468;1457;1399;1486
"Jugovzhodna Slovenija";"5 let";"Vrsta zavoda  - SKUPAJ";1173;1026;1136;1135;1180;1249;1328;1374;1362;1518;1506;1501;1443
"Jugovzhodna Slovenija";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";38;43;34;29;52;46;56;64;114;135;102;117;107
"Osrednjeslovenska";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";17904;18883;19998;21488;22895;24634;25411;25915;26300;25898;26034;26073;26120
"Osrednjeslovenska";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";1924;2359;2622;2730;2748;2762;2858;3004;3045;3226;3261;3373;3486
"Osrednjeslovenska";"2 leti";"Vrsta zavoda  - SKUPAJ";3386;3502;3953;4326;4523;4968;4807;4809;5059;4768;4920;4972;4977
